"ew_start","sum_of_cases"
2017-12-31,17
2018-01-07,22
2018-01-14,33
2018-01-21,32
2018-01-28,39
2018-02-04,38
2018-02-11,38
2018-02-18,36
2018-02-25,51
2018-03-04,50
2018-03-11,51
2018-03-18,59
2018-03-25,34
2018-04-01,72
2018-04-04,57
2018-04-15,65
2018-04-22,42
2018-04-29,35
2018-05-06,36
2018-05-13,29
2018-05-20,24
2018-05-27,27
2018-06-03,20
2018-06-10,22
2018-06-17,13
2018-06-24,7
2018-07-01,22
2018-07-08,13
2018-07-15,17
2018-07-22,11
2018-07-29,26
2018-08-05,20
2018-08-12,22
2018-08-19,23
2018-08-26,21
2018-09-02,13
2018-09-09,18
2018-09-16,25
2018-09-23,16
2018-09-30,23
2018-10-07,19
2018-10-14,35
2018-10-21,32
2018-10-28,20
2018-11-04,14
2018-11-11,15
2018-11-18,13
2018-11-25,12
2018-12-02,11
2018-12-09,13
2018-12-16,9
2018-12-23,14
2018-12-30,11
2019-01-06,22
2019-01-13,19
2019-01-20,16
2019-01-27,27
2019-02-03,15
2019-02-10,15
2019-02-17,34
2019-02-24,32
2019-03-03,34
2019-03-10,39
2019-03-17,40
2019-03-24,41
2019-03-31,47
2019-04-07,26
2019-04-14,30
2019-04-21,15
2019-04-28,19
2019-05-05,20
2019-05-12,13
2019-05-19,27
2019-05-26,17
2019-06-02,17
2019-06-09,10
2019-06-16,15
2019-06-23,13
2019-06-30,12
2019-07-07,7
2019-07-14,2
2019-07-21,10
2019-07-28,12
2019-08-04,10
2019-08-11,15
2019-08-18,6
2019-08-25,8
2019-09-01,23
2019-09-08,9
2019-09-15,5
2019-09-22,10
2019-09-29,7
2019-10-06,17
2019-10-13,14
2019-10-20,13
2019-10-27,16
2019-11-03,16
2019-11-10,9
2019-11-17,18
2019-11-24,15
2019-12-01,10
2019-12-08,8
2019-12-15,8
2019-12-22,6
2019-12-29,7
2020-01-05,6
2020-01-12,11
2020-01-19,11
2020-01-26,6
2020-02-02,12
2020-02-09,11
2020-02-16,8
2020-02-23,6
2020-03-01,1
2020-03-08,9
2020-03-15,4
2020-03-22,2
2020-03-29,4
2020-04-05,6
2020-04-12,5
2020-04-19,10
2020-04-26,7
2020-05-03,4
2020-05-10,4
2020-05-17,4
2020-05-24,4
2020-05-31,0
2020-06-07,4
2020-06-14,0
2020-06-21,1
2020-06-28,0
2020-07-05,1
2020-07-12,5
2020-07-19,3
2020-07-26,6
2020-08-02,1
2020-08-09,4
2020-08-16,0
2020-08-23,3
2020-08-30,4
2020-09-06,2
2020-09-13,2
2020-09-20,2
2020-09-27,4
2020-10-04,5
2020-10-11,5
2020-10-18,3
2020-10-25,1
2020-11-01,0
2020-11-08,5
2020-11-15,4
2020-11-22,6
2020-11-29,6
2020-12-06,7
2020-12-13,3
2020-12-20,3
2020-12-27,2
2021-01-03,21
2021-01-10,14
2021-01-17,17
2021-01-24,13
2021-01-31,8
2021-02-07,10
2021-02-14,11
2021-02-21,15
2021-02-28,23
2021-03-07,20
2021-03-14,16
2021-03-21,12
2021-03-28,7
2021-04-04,14
2021-04-11,14
2021-04-18,14
2021-04-25,14
2021-05-02,10
2021-05-09,8
2021-05-16,14
2021-05-23,9
2021-05-30,13
2021-06-06,7
2021-06-13,6
2021-06-20,17
2021-06-27,21
2021-07-04,15
2021-07-11,5
2021-07-18,9
2021-07-25,11
2021-08-01,29
2021-08-08,61
2021-08-15,16
2021-08-22,16
2021-08-29,36
2021-09-05,35
2021-09-12,34
2021-09-19,25
2021-09-26,29
2021-10-03,23
2021-10-10,11
2021-10-17,15
2021-10-24,7
2021-10-31,16
2021-11-07,11
2021-11-14,17
2021-11-21,19
2021-11-28,8
2021-12-05,9
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,16
2022-01-09,19
2022-01-16,13
2022-01-23,7
2022-01-30,9
2022-02-06,18
2022-02-13,21
2022-02-20,19
2022-02-27,17
2022-03-06,22
2022-03-13,25
2022-03-20,15
2022-03-27,32
2022-04-03,24
2022-04-10,18
2022-04-17,18
2022-04-24,23
2022-05-01,16
2022-05-08,24
2022-05-15,31
2022-05-22,24
2022-05-29,18
2022-06-05,29
2022-06-12,30
2022-06-19,22
2022-06-26,29
2022-07-03,18
2022-07-10,24
2022-07-17,25
2022-07-24,20
2022-07-31,24
2022-08-07,21
2022-08-14,13
2022-08-21,9
2022-08-28,8
2022-09-04,14
2022-09-11,15
2022-09-18,15
2022-09-25,14
2022-10-02,19
2022-10-09,19
2022-10-16,23
2022-10-23,14
2022-10-30,20
2022-11-06,16
2022-11-13,14
2022-11-20,14
2022-11-27,13
2022-12-04,23
2022-12-11,16
2022-12-18,21
